id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
331,27 11 10,47,45,ND,ND,ND,ND,ND,ND,ND
332,28 11 10,45,39,ND,ND,ND,ND,ND,ND,ND
333,29 11 10,32,33,ND,ND,ND,ND,ND,ND,ND
334,30 11 10,41,53,ND,ND,ND,ND,ND,ND,ND
335,01 12 10,31,45,ND,ND,ND,ND,ND,ND,ND
336,02 12 10,27,20,ND,ND,ND,ND,ND,ND,ND
337,03 12 10,28,25,ND,ND,ND,ND,ND,ND,ND
338,04 12 10,27,24,ND,ND,ND,ND,ND,ND,ND
339,05 12 10,24,25,ND,ND,ND,ND,ND,ND,ND
340,06 12 10,31,ND,ND,ND,ND,ND,ND,ND,ND
341,07 12 10,34,10,ND,ND,ND,ND,ND,ND,ND
342,08 12 10,35,20,ND,ND,ND,ND,ND,ND,ND
343,09 12 10,19,25,ND,ND,ND,ND,ND,ND,ND
344,10 12 10,32,23,ND,ND,ND,ND,ND,ND,ND
345,11 12 10,30,44,ND,ND,ND,ND,ND,ND,ND
346,12 12 10,30,34,ND,ND,ND,ND,ND,ND,ND
347,13 12 10,18,19,ND,ND,ND,ND,ND,ND,ND
348,14 12 10,27,32,ND,ND,ND,ND,ND,ND,ND
349,15 12 10,25,32,ND,ND,ND,ND,ND,ND,ND
350,16 12 10,24,22,ND,ND,ND,ND,ND,ND,ND
351,17 12 10,43,39,ND,ND,ND,ND,ND,ND,ND
352,18 12 10,42,43,ND,ND,ND,ND,ND,ND,ND
353,19 12 10,20,33,ND,ND,ND,ND,ND,ND,ND
354,20 12 10,31,27,ND,ND,ND,ND,ND,ND,ND
355,21 12 10,29,27,ND,ND,ND,ND,ND,ND,ND
356,22 12 10,41,43,ND,ND,ND,ND,ND,ND,ND
357,23 12 10,33,37,ND,ND,ND,ND,ND,ND,ND
358,24 12 10,34,25,ND,ND,ND,ND,ND,ND,ND
359,25 12 10,35,28,ND,ND,ND,ND,ND,ND,ND
360,26 12 10,20,20,ND,ND,ND,ND,ND,ND,ND
361,27 12 10,24,16,ND,ND,ND,ND,ND,ND,ND
362,28 12 10,29,26,ND,ND,ND,ND,ND,ND,ND
363,29 12 10,31,27,ND,ND,ND,ND,ND,ND,ND
364,30 12 10,27,26,ND,ND,ND,ND,ND,ND,ND
365,31 12 10,19,28,ND,ND,ND,ND,ND,ND,ND
366,01 1 11,23,30,ND,ND,ND,ND,ND,ND,ND
367,02 1 11,19,24,ND,ND,ND,ND,ND,ND,ND
368,03 1 11,14,23,ND,ND,ND,ND,ND,ND,ND
369,04 1 11,14,29,ND,ND,ND,ND,ND,ND,ND
