_id,id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
296,296,2010-10-23T00:00:00,23,22,ND,ND,ND,ND,ND,ND,ND
297,297,2010-10-24T00:00:00,20,23,ND,ND,ND,ND,ND,ND,ND
298,298,2010-10-25T00:00:00,26,19,ND,ND,ND,ND,ND,ND,ND
299,299,2010-10-26T00:00:00,42,32,ND,ND,ND,ND,ND,ND,ND
300,300,2010-10-27T00:00:00,42,42,ND,ND,ND,ND,ND,ND,ND
301,301,2010-10-28T00:00:00,29,33,ND,ND,ND,ND,ND,ND,ND
302,302,2010-10-29T00:00:00,40,48,ND,ND,ND,ND,ND,ND,ND
303,303,2010-10-30T00:00:00,35,42,ND,ND,ND,ND,ND,ND,ND
304,304,2010-10-31T00:00:00,17,32,ND,ND,ND,ND,ND,ND,ND
305,305,2010-01-11T00:00:00,ND,22,ND,ND,ND,ND,ND,ND,ND
306,306,2010-02-11T00:00:00,19,32,ND,ND,ND,ND,ND,ND,ND
307,307,2010-03-11T00:00:00,28,28,ND,ND,ND,ND,ND,ND,ND
308,308,2010-04-11T00:00:00,51,46,ND,ND,ND,ND,ND,ND,ND
309,309,2010-05-11T00:00:00,39,50,ND,ND,ND,ND,ND,ND,ND
310,310,2010-06-11T00:00:00,31,46,ND,ND,ND,ND,ND,ND,ND
311,311,2010-07-11T00:00:00,31,26,ND,ND,ND,ND,ND,ND,ND
312,312,2010-08-11T00:00:00,29,33,ND,ND,ND,ND,ND,ND,ND
313,313,2010-09-11T00:00:00,39,46,ND,ND,ND,ND,ND,ND,ND
314,314,2010-10-11T00:00:00,30,36,ND,ND,ND,ND,ND,ND,ND
315,315,2010-11-11T00:00:00,28,34,ND,ND,ND,ND,ND,ND,ND
316,316,2010-12-11T00:00:00,32,35,ND,ND,ND,ND,ND,ND,ND
317,317,2010-11-13T00:00:00,26,26,ND,ND,ND,ND,ND,ND,ND
318,318,2010-11-14T00:00:00,16,19,ND,ND,ND,ND,ND,ND,ND
319,319,2010-11-15T00:00:00,19,19,ND,ND,ND,ND,ND,ND,ND
